Data_Zone, SIMD_tot , Inc_rank , Emp_rank , Hlth_rank , Edu_rank , Hou_rank , Acc_rank , Crime_rank 
S01008417,0.59,0.57,0.73,0.76,0.85,0.91,0.01,0.76
S01008418,0.70,0.91,0.80,0.66,0.78,0.96,0.03,0.82
S01008419,0.60,0.60,0.53,0.53,0.73,0.82,0.24,0.74
S01008420,0.87,0.65,0.79,0.70,0.75,1.00,0.47,0.95
S01008421,0.36,0.27,0.35,0.27,0.41,0.73,0.40,0.83
S01008422,0.90,0.92,0.86,0.80,0.97,0.91,0.14,0.81
S01008423,0.71,0.85,0.85,0.71,0.79,0.94,0.05,0.75
S01008424,0.83,0.93,0.71,0.89,0.82,0.99,0.10,0.95
S01008425,0.88,0.96,0.99,0.98,0.76,0.87,0.06,0.97
S01008426,0.32,0.37,0.21,0.21,0.41,0.70,0.49,0.77
S01008427,0.71,0.92,0.90,0.76,0.79,0.86,0.01,0.93
S01008428,0.41,0.34,0.38,0.35,0.36,0.67,0.41,0.98
S01008429,0.88,0.89,0.60,0.68,0.75,0.90,0.61,0.88
S01008430,0.53,0.52,0.44,0.49,0.61,0.63,0.48,0.55
S01008431,0.62,0.64,0.54,0.66,0.74,0.85,0.08,0.99
S01008432,0.70,0.76,0.89,0.80,0.69,0.88,0.08,0.49
S01008433,0.79,0.88,0.82,0.76,0.68,0.89,0.13,0.71
S01008434,0.74,0.82,0.92,0.69,0.55,0.83,0.16,0.66
S01008435,0.78,0.96,0.85,0.73,0.67,0.87,0.19,0.44
S01008436,0.69,0.72,0.59,0.69,0.80,0.92,0.19,0.87
S01008437,0.53,0.57,0.45,0.42,0.86,0.67,0.13,0.90
S01008438,0.71,0.95,0.84,0.75,0.90,0.70,0.03,0.80
S01008439,0.89,0.81,0.89,0.91,0.99,0.93,0.12,0.89
S01008440,0.72,0.84,0.74,0.82,0.95,0.98,0.05,0.78
S01008441,0.84,0.90,0.80,0.86,0.92,0.87,0.10,0.86
S01008442,0.82,0.87,0.79,0.93,0.92,0.87,0.12,0.62
S01008443,0.83,0.84,0.82,0.92,0.99,0.97,0.23,0.35
S01008444,0.86,0.93,0.99,0.83,0.70,0.66,0.11,0.88
S01008445,0.56,0.53,0.91,0.47,0.47,0.63,0.09,0.97
S01008446,0.92,0.94,0.98,0.97,0.94,0.98,0.13,0.67
S01008447,0.70,0.88,0.76,0.87,0.89,0.90,0.04,0.57
S01008448,0.58,0.67,0.61,0.80,0.76,0.85,0.04,0.34
S01008449,0.08,0.04,0.10,0.14,0.13,0.45,0.22,0.72
S01008450,0.14,0.11,0.18,0.16,0.09,0.30,0.22,0.27
S01008451,0.01,0.02,0.01,0.02,0.01,0.26,0.86,0.06
S01008452,0.02,0.01,0.02,0.02,0.11,0.20,0.50,0.22
S01008453,0.36,0.36,0.45,0.37,0.23,0.07,0.36,0.75
S01008454,0.07,0.04,0.06,0.11,0.13,0.41,0.43,0.38
S01008455,0.06,0.05,0.06,0.10,0.05,0.32,0.40,0.16
