FID;Shape;DataZone;LAName;SAPE2014;WASAPE2014;Rank;Quintile;Decile;Vigintile;Percentile;IncRate;IncNumDep;IncRank;EmpRate;EmpNumDep;EmpRank;HlthCIF;HlthAlcSR;HlthDrugSR;HlthSMR;HlthDprsPc;HlthLBWTPc;HlthEmrgSR;HlthRank;EduAttend;EduAttain;EduNoQuals;EduNEET;EduHESA;EduRank;GAccPetrol;GAccDTGP;GAccDTPost;GAccDTPsch;GAccDTRet;GAccDTSsch;GAccPTGP;GAccPTPost;GAccPTRet;GAccRank;CrimeCount;CrimeRate;CrimeRank;HouseNumOC;HouseNumNC;HouseOCrat;HouseNCrat;HouseRank
0;Polygon;S01008417;City_of_Edinburgh;726;423;5612;5;9;17;81;0.05;35;5220;0.03;15;6119;35;18.353969;0;73;0.133609;0.0625;56.82967;6449;0.917808;6.296296;27.844943;0;0.190476;6694;3.413901;6.990954;3.954831;4.381611;4.353393;4.351439;18.449972;11.608202;12.035461;884;12.005635;165.366873;4087;17;8;0.023416;0.011019;6350
1;Polygon;S01008418;City_of_Edinburgh;710;396;6285;5;10;19;91;0.01;10;6769;0.02;10;6368;35;91.971398;0;55;0.138028;0;70.389642;6000;0.946429;5.807692;23.603491;0.04;0.151515;6453;3.798261;7.085644;2.801384;2.995124;3.304063;5.088535;16.794386;9.184798;9.493201;1311;10.004696;140.911209;4513.5;7;10;0.010116;0.014451;6650
2;Polygon;S01008419;City_of_Edinburgh;526;326;5717;5;9;17;82;0.04;25;5344;0.05;15;4898;55;86.314823;0;63;0.104563;0;92.347921;5220;0.957672;5.5;33.869187;0.07;0.272727;6304;2.721766;5.911822;1.621167;2.354256;2.000061;3.23934;16.062553;7.229048;7.489276;3504;9.004226;171.183008;3990;30;0;0.06;0;5373
3;Polygon;S01008420;City_of_Edinburgh;488;287;6737;5;10;20;97;0.04;20;5620;0.03;5;6346;35;0;0;67;0.143443;0.055556;78.564645;6246;0.942029;5.8;30.033347;0.02;0.149425;6378;2.514449;5.941546;1.627558;1.412279;1.999731;3.357228;13.718939;4.722868;4.959664;4810;4.001878;82.005703;5655;2;0;0.004202;0;6957
4;Polygon;S01008421;City_of_Edinburgh;885;542;3530;3;6;11;51;0.12;110;2810;0.09;45;3528;95;109.849629;63.331021;109;0.185311;0.02439;100.750106;2939;0.892989;5.16;87.801248;0.06;0.08871;3669;1.39918;5.391719;1.876827;1.884304;2.265543;2.8306;14.692325;6.99218;7.228869;4314;12.005635;135.656892;4596;61;6;0.071096;0.006993;4598
5;Polygon;S01008422;City_of_Edinburgh;622;345;6792;5;10;20;98;0.01;10;6787;0.02;5;6569;25;15.300898;0;54;0.130225;0;70.506776;6562;0.994819;6.266667;11.491367;0.02;0.186275;6943;2.13365;5.703688;2.668092;4.363212;3.067075;3.060043;12.835;7.384565;7.84744;2671;9.004226;144.76248;4435;17;4;0.027375;0.006441;6377
6;Polygon;S01008423;City_of_Edinburgh;1070;649;6391;5;10;19;92;0.02;20;6576;0.02;15;6555;30;52.135649;131.568261;63;0.115888;0;66.575776;6278;0.945402;5.829268;30.939901;0.03;0.229508;6496;3.507549;4.851244;3.195388;4.557142;4.118019;3.563386;14.821773;7.881355;11.023631;1531;18.008452;168.303294;4039;27;3;0.0254;0.002822;6558
7;Polygon;S01008424;City_of_Edinburgh;818;421;6671;5;10;20;96;0.01;10;6807;0.03;15;6041;30;16.468373;0;66;0.116137;0;49.471544;6767;0.901961;6.4;25.51799;0.05;0.226087;6611;3.365426;3.629965;3.307578;3.822629;3.918869;3.510189;11.07197;8.504629;10.836258;2109;6.002817;73.384077;5817;9;3;0.010778;0.003593;6859
8;Polygon;S01008425;City_of_Edinburgh;3302;2916;6763;5;10;20;97;0.01;35;6860;0.01;20;6938;20;20.85078;0;81;0.062386;0;42.74384;6944;0.939516;6.107143;39.482574;0;0.086738;6407;4.130049;3.143041;4.160647;2.688424;4.577216;3.650646;9.390929;11.672772;17.999861;1731;19.008922;57.567904;6136;31;8;0.032461;0.008377;6126
9;Polygon;S01008426;City_of_Edinburgh;564;310;3253;3;5;10;47;0.09;50;3697;0.13;40;2326;100;136.453272;61.436368;85;0.23227;0;117.313629;2339;0.878205;5.44;105.445963;0.03;0.0625;3608;3.319277;1.559163;2.154236;1.535018;5.51449;3.190707;5.720035;6.826396;13.489049;4950;9.004226;159.649401;4187;43;6;0.075044;0.010471;4290
